window,threshold,total_return,sharpe,max_drawdown
10,0.5,-0.5860258889635708,-0.6979787178550728,-0.5913127698942058
10,1.0,-0.49375383555077956,-0.6752504333797752,-0.5016839553049266
10,1.5,-0.3164983219428129,-0.5454222505277443,-0.3272773709074929
20,0.5,-0.5607801623878916,-0.6551837875792698,-0.5974303693521151
20,1.0,-0.5330982940301243,-0.6878662047020518,-0.5534402421655844
20,1.5,-0.1862435664008194,-0.26006406892542505,-0.22805426978150398
50,0.5,-0.3956690211798539,-0.4060538186188848,-0.4352935429208627
50,1.0,-0.42827019469349725,-0.5012848931929343,-0.5052017244561038
50,1.5,-0.18341210598279656,-0.22681249535993267,-0.32792096433919204
