strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,trades
Mean Reversion,-0.533097512575387,-0.10438296989271634,0.15174915617951798,-0.6878652410378623,-0.5534393916304916,417.0
Trend-Filtered Mean Reversion,-0.17300020547942851,-0.02711979074847648,0.05351033082207778,-0.5068141110667017,-0.19783911558374068,100.0
Momentum,1.3841386941716087,0.13651258769599472,0.19474737915404125,0.7009726564177072,-0.3371727297052122,87.0
Buy and Hold,1.3841386941716087,0.13651258769599472,0.19474737915404125,0.7009726564177072,-0.3371727297052122,0.0
